DOSSIER,PRODUCTO,MATERIA_PRIMA,KG_TON,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na
13_B-ZINC 15,entrada,BENTONITA,130.0,0,0,0,0,0,0,0,0.26,0.78,0.52,0,0,0,0,0,0,0,7.41,0,0
13_B-ZINC 15,entrada,KCL ESTÁNDAR,70.0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0
13_B-ZINC 15,entrada,OXIDO ZN,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13_B-ZINC 15,entrada,SILICATO MG,150.0,0,0,0,0,0,0,0,0,0,5.079,0,0,0,0,0,0,0,5.547,0,0
13_B-ZINC 15,entrada,SULFATO ZN,270.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45,0
13_B-ZINC 15,entrada,ULEXITA,280.0,0,0,0,0,0,0,0,0,3.64,0,0,3.92,0,0,0,0,0,0,0,0
13_B-ZINC 15,entrada,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,4.42,5.599,0.0,3.92,0.0,0.0,0.0,0.0,0.0,12.957,9.45,0.0
17_CALFERCORRECTIVO,balance materias primas,SULFATO CALCIO - ANIBAL ARANGO,200.0,0,0,0,0,0,0,0,0,4.4,0,2.6,0,0,0,0,0,0,0,0,0
17_CALFERCORRECTIVO,balance materias primas,CARBONATO CALCIO - AGROCALES,170.0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0
17_CALFERCORRECTIVO,balance materias primas,CAL DOLOMITA - BOLIVARIANA MINERALES,100.0,0,0,0,0,0,0,0,0,3.4,1.4,0,0,0,0,0,0,0,0,0,0
17_CALFERCORRECTIVO,balance materias primas,SILICATO MAGNESIO - JULIAN SALDARRIAGA,350.0,0,0,0,0,0,0,0,0,0,11.851,0,0,0,0,0,0,0,12.943,0,0
17_CALFERCORRECTIVO,balance materias primas,BENTONITA GRIS - DIDIER HOYOS,180.0,0,0,0,0,0,0,0,0.36,1.08,0.72,0,0,0,0,0,0,0,10.26,0,0
17_CALFERCORRECTIVO,balance materias primas,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,15.68,13.971,2.6,0.0,0.0,0.0,0.0,0.0,0.0,23.203,0.0,0.0
18_CAL DESARROLLO,Calfer Desarrollo,UREA,336.99999999999994,0,15.502,0,0,0,15.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,FOSFATO DE AMONIO (MAP),152.49999999999997,0,1.6775,1.6775,0,0,0,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,SULFATO DE AMONIO (SAM),214.59999999999997,0,4.5066,4.5066,0,0,0,0,0,0,0,5.1504,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,NITRATO DE POTASIO (KNO3),232.59999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
