COD;PRODUCTO;CLASE;TIPO;Test;C;N;N-NH4;N-NO3;N-org;N-ur;P;K;CaO;MgO;S;B;Co;Cu;Fe;Mn;Mo;SiO2;Zn;Na
568;MFE 25-6-13+EM;PT;G;1;;25;;;;;6;13;;;;;;;;;;;;
644;MFE 25-8-16+EM;PT;G;1;;25;;;;;8;16;;;;;;;;;;;;
R;MFE 26-6-2 / SUPER PASTURA;PT;G;1;;26;;;;;6;2;;;;;;;;;;;;
594;MFE 26-11-6+EM;PT;G;1;;26;;;;;11;6;;;;;;;;;;;;
582;MFE 26-20K-4S;PT;G;1;;26;;;;;0;20;;;4;;;;;;;;;
627;MFE 26-2-9-2Ca;PT;G;1;;26;;;;;2;9;2;;;;;;;;;;;
431;MFE 26-6-2+EM;PT;G;1;;26;;;;;6;2;;;;;;;;;;;;
682;MFE 26-7-0+EM;PT;G;1;;26;;;;;7;0;;;;;;;;;;;;
625;MFE 27-18K-5S;PT;G;1;;27;;;;;0;18;;;5;;;;;;;;;
672;MFE 27-20-0+EM;PT;G;1;;27;;;;;20;0;;;;;;;;;;;;
539;MFE 27-5-11+EM;PT;G;1;;27;;;;;5;11;;;;;;;;;;;;
610;MFE 27-8-9+EM ILO;PT;G;1;;27;;;;;8;9;;;;;;;;;;;;
R;MFE 28-0-6;PT;G;1;;28;;;;;0;6;;;;;;;;;;;;
R;MFE 28-1-12;PT;G;1;;28;;;;;1;12;;;;;;;;;;;;
621;MFE 28-24-0;PT;G;1;;28;;;;;0;24;;;;;;;;;;;;
1401;MFE 28 5 5.4 + EM;PT;G;1;;28;;;;;5;5.4;1.8;3.5;3.6;;;;;;;;;
600;MFE 28-14-6+EM;PT;G;1;;28;;;;;14;6;;;;;;;;;;;;
