idInterno;codigoExterno;codigoOriginal;producto;clase;tipo;origen;archivado;C;N;N-NH4;N-NO3;N-org;N-ur;P;K;CaO;MgO;S;B;Co;Cu;Fe;Mn;Mo;SiO2;Zn;Na
PT0033;85;85;MF 15-15-15;PT;G;csv;;0;15;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;0;0;0
PT0034;462;462;MF 15-4-23+EM;PT;G;csv;;0;15;0;0;0;0;4;23;0;0;0;0;0;0;0;0;0;0;0;0
PT0035;426;426;MF 15-6-8+EM;PT;G;csv;;0;15;0;0;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;0
PT0036;612;612;MF 16-26-12;PT;G;csv;;0;16;0;0;0;0;23;12;0;0;0;0;0;0;0;0;0;0;0;0
PT0037;517;517;MF 16-16-16+EM;PT;G;csv;;0;16;0;0;0;0;16;16;0;0;0;0;0;0;0;0;0;0;0;0
PT0038;441;441;MF 16-17-0-7Ca+EM;PT;G;csv;;0;16;0;0;0;0;17;0;7;0;0;0;0;0;0;0;0;0;0;0
PT0039;405;405;MF 16-3-14+EM;PT;G;csv;;0;16;0;0;0;0;3;14;0;0;0;0;0;0;0;0;0;0;0;0
PT0040;84;84;MF 17-6-18-2-1;PT;G;csv;;0;17;0;0;0;0;6;18;2;1;0;0;0;0;0;0;0;0;0;0
PT0041;402;402;MF 17-6-18-6+EM;PT;G;csv;;0;17;0;0;0;0;6;18;6;0;0;0;0;0;0;0;0;0;0;0
PT0042;401;401;MF 17-8-11+EM+CO;PT;G;csv;;0;17;0;0;0;0;8;11;0;0;0;0;0;0;0;0;0;0;0;0
PT0043;478;478;MF 17-4-23+EM;PT;G;csv;;0;17;0;0;0;0;4;23;0;0;0;0;0;0;0;0;0;0;0;0
PT0044;477;477;MF 17-5-7+EM;PT;G;csv;;0;17;0;0;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;0
PT0045;83;83;MF 18-18-18;PT;G;csv;;0;18;0;0;0;0;18;18;0;0;0;0;0;0;0;0;0;0;0;0
