idInterno;codigoExterno;clase;grupo;producto;tiene_HS;score;motivo;archivo_HS
PT0181;602;PT;MF_MFE;MFE 15-21-1+EM;NO;0.0;;
PT0182;635;PT;MF_MFE;MFE 15-9-20+EM;NO;0.0;;
PT0183;658;PT;MF_MFE;MFE 16-21-5+EM;NO;0.0;;
PT0184;429;PT;MF_MFE;MFE 18-18-18+EM;NO;0.0;;
PT0185;649;PT;MF_MFE;MFE 18-2-0+EM;NO;0.0;;
PT0186;414;PT;MF_MFE;MFE 18-9-29+EM;NO;0.0;;
PT0187;674;PT;MF_MFE;MFE 19-25-6+EM;NO;0.0;;
PT0188;566;PT;MF_MFE;MFE 19-4-10+EM;NO;0.0;;
PT0189;586;PT;MF_MFE;MFE 19-4-18;NO;0.0;;
PT0190;596;PT;MF_MFE;MFE 20-3-14+EM;NO;0.0;;
PT0191;413;PT;MF_MFE;MFE 20-4-18+EM;NO;0.0;;
PT0192;555;PT;MF_MFE;MFE 21-4-11+EM;NO;0.0;;
PT0193;654;PT;MF_MFE;MFE 21-7-8 + EM;NO;0.0;;
PT0194;1410;PT;MF_MFE;MFE 22-3-7;NO;0.0;;
PT0195;664;PT;MF_MFE;MFE 22-0-19+EM;NO;0.0;;
PT0196;560;PT;MF_MFE;MFE 22-3-0+ EM;NO;0.0;;
PT0197;645;PT;MF_MFE;MFE 22-3-3+EM;NO;0.0;;
PT0198;662;PT;MF_MFE;MFE 22-6-3+EM;NO;0.0;;
PT0199;605;PT;MF_MFE;MFE 22-7K-12S+EM;NO;0.0;;
PT0200;639;PT;MF_MFE;MFE 22-8-10+EM;NO;0.0;;
PT0201;535;PT;MF_MFE;MFE 22-9-0+EM;NO;0.0;;
PT0202;669;PT;MF_MFE;MFE 23-1-18+EM;NO;0.0;;
PT0203;651;PT;MF_MFE;MFE 23-4-16+EM;NO;0.0;;
PT0204;593;PT;MF_MFE;MFE 23-4-9+EM;NO;0.0;;
PT0205;420;PT;MF_MFE;MFE 23-5-10+EM;NO;0.0;;
PT0206;554;PT;MF_MFE;MFE 23-9-11+EM;NO;0.0;;
PT0207;650;PT;MF_MFE;MFE 24-2-9+EM;NO;0.0;;
PT0208;585;PT;MF_MFE;MFE 24-4-2K+EM;NO;0.0;;
PT0209;965;PT;MF_MFE;MFE 24-4-10+EM;NO;0.0;;
PT0210;616;PT;MF_MFE;MFE 24-6-7+EM;NO;0.0;;
PT0211;591;PT;MF_MFE;MFE 24-9K-12S+EM;NO;0.0;;
PT0212;614;PT;MF_MFE;MFE 24-9-7S+EM;NO;0.0;;
PT0213;629;PT;MF_MFE;MFE 25-0-8+EM;NO;0.0;;
PT0214;412;PT;MF_MFE;MFE 25-13-12 +EM;NO;0.0;;
PT0215;628;PT;MF_MFE;MFE 25-4-14+EM;NO;0.0;;
PT0216;677;PT;MF_MFE;MFE 25-6-0+EM;NO;0.0;;
PT0217;568;PT;MF_MFE;MFE 25-6-13+EM;NO;0.0;;
PT0218;644;PT;MF_MFE;MFE 25-8-16+EM;NO;0.0;;
PT0219;594;PT;MF_MFE;MFE 26-11-6+EM;NO;0.0;;
PT0220;582;PT;MF_MFE;MFE 26-20K-4S;NO;0.0;;
PT0221;627;PT;MF_MFE;MFE 26-2-9-2Ca;NO;0.0;;
PT0222;431;PT;MF_MFE;MFE 26-6-2+EM;NO;0.0;;
PT0223;682;PT;MF_MFE;MFE 26-7-0+EM;NO;0.0;;
PT0224;625;PT;MF_MFE;MFE 27-18K-5S;NO;0.0;;
PT0225;672;PT;MF_MFE;MFE 27-20-0+EM;NO;0.0;;
PT0226;539;PT;MF_MFE;MFE 27-5-11+EM;NO;0.0;;
PT0227;610;PT;MF_MFE;MFE 27-8-9+EM ILO;NO;0.0;;
PT0228;621;PT;MF_MFE;MFE 28-24-0;NO;0.0;;
PT0229;1401;PT;MF_MFE;MFE 28 5 5.4 + EM;NO;0.0;;
PT0230;600;PT;MF_MFE;MFE 28-14-6+EM;NO;0.0;;
PT0231;657;PT;MF_MFE;MFE 28-4-9+EM;NO;0.0;;
PT0232;592;PT;MF_MFE;MFE 28-5-0+EM;NO;0.0;;
PT0233;548;PT;MF_MFE;MFE 28-5-15+EM;NO;0.0;;
PT0234;609;PT;MF_MFE;MFE 28-5-9+EM;NO;0.0;;
PT0235;608;PT;MF_MFE;MFE 29 10 6 + EM;NO;0.0;;
PT0236;428;PT;MF_MFE;MFE 29-15-5+EM;NO;0.0;;
PT0237;607;PT;MF_MFE;MFE 29-1-11+EM;NO;0.0;;
PT0238;683;PT;MF_MFE;MFE 29-6-12+EM;NO;0.0;;
PT0239;840;PT;MF_MFE;MFE 30-0-20;NO;0.0;;
PT0240;598;PT;MF_MFE;MFE 30-11-6+EM;NO;0.0;;
PT0241;465;PT;MF_MFE;MFE 30-8-0-5CA+EM;NO;0.0;;
PT0242;676;PT;MF_MFE;MFE 30-9-0+EM;NO;0.0;;
PT0243;671;PT;MF_MFE;MFE 31-5-0+EM;NO;0.0;;
PT0244;597;PT;MF_MFE;MFE 31-6-7+EM;NO;0.0;;
PT0245;581;PT;MF_MFE;MFE 31-7K-9S;NO;0.0;;
PT0246;1080;PT;MF_MFE;MFE 32-0-9;NO;0.0;;
PT0247;1402;PT;MF_MFE;MFE 32 1 12;NO;0.0;;
PT0248;599;PT;MF_MFE;MFE 33-6-6+EM;NO;0.0;;
PT0249;666;PT;MF_MFE;MFE 4-9-0+ EM;NO;0.0;;
PT0250;622;PT;MF_MFE;MFE 5-8-29+EM;NO;0.0;;
PT0251;603;PT;MF_MFE;MFE 6-6-33+EM;NO;0.0;;
PT0252;661;PT;MF_MFE;MFE 7-8-30+EM;NO;0.0;;
PT0253;551;PT;MF_MFE;MFE 8-6-24+EM;NO;0.0;;
PT0257;62;PT;PT_COMERCIAL;NUCLEO CAMASI GRIS;NO;0.0;;
PT0259;140;PT;PT_COMERCIAL;NUCLEO FERCON;NO;0.0;;
PT0261;208;PT;PT_COMERCIAL;NUCLEO MAGNESIO;NO;0.0;;
PT0262;803;PT;PT_COMERCIAL;NUCLEO MAGNESIO-S;NO;0.0;;
PT0263;604;PT;PT_COMERCIAL;NUCLEO MAGNESIO-SILICIO;NO;0.0;;
PT0264;558;PT;PT_COMERCIAL;NUCLEO MAGNESIO-SILICIO EM;NO;0.0;;
PT0266;35;PT;PT_COMERCIAL;SILIMAGRAN;NO;0.0;;
PT0267;564;PT;PT_COMERCIAL;SULFATO ZINC 30%;NO;0.0;;
PT0269;PT0269;PT;PT_COMERCIAL;CALFEIMPULSO;NO;0.0;;
PT0270;PT0270;PT;PT_COMERCIAL;RETAPE;NO;0.0;;
PT0271;PT0271;PT;PT_COMERCIAL;DESYERBE;NO;0.0;;
PT0272;PT0272;PT;PT_COMERCIAL;RICE START C+EM;NO;0.0;;
PT0273;PT0273;PT;PT_COMERCIAL;RICE BALANCE C+EM;NO;0.0;;
PT0274;PT0274;PT;PT_COMERCIAL;PALM DRIVE C+EM;NO;0.0;;
PT0275;PT0275;PT;MF_MFE;MFE 20-7-10;NO;0.0;;
PT0276;PT0276;PT;MF_MFE;MFE 43.5-0-0-2.4S;NO;0.0;;
PT0279;PT0279;PT;PT_COMERCIAL;NUCLEO CAMASI ROJO;NO;0.0;;
PT0285;PT0285;PT;PT_COMERCIAL;PRODUCCION 17;NO;0.0;;
PT0287;PT0287;PT;PT_COMERCIAL;R-VITAL 17;NO;0.0;;
PT0288;PT0288;PT;PT_COMERCIAL;ORGANIC M;NO;0.0;;
PT0291;PT0291;PT;PT_COMERCIAL;FE SULFATO CALCIO;NO;0.33;keywords:1/3;HOJA DE SEGURIDAD - SUL-CALCIO.docx
PT0294;PT0294;PT;PT_COMERCIAL;1-CRECIMIENTO;NO;0.0;;
PT0295;PT0295;PT;PT_COMERCIAL;2-AVANCE;NO;0.0;;
PT0296;PT0296;PT;PT_COMERCIAL;3-PRODUCTOR;NO;0.0;;
