producto,materia_prima,kg_por_ton,porcentaje
NUCLEO 4,SILICATO DE MAGNESIO X KILO,400.0,40.0
NUCLEO 4,CARBONATO DE CALCIO X KILO,250.0,25.0
NUCLEO 4,SULFATO DE CALCIO X KILO,150.0,15.0
NUCLEO 4,KIESERITA EN POLVO X KILO,100.0,10.0
10-20-20,UREA,75.0,7.5
10-20-20,SAM,25.0,2.5
10-20-20,KCL,330.0,33.0
10-20-20,DAP,320.0,32.0
10-20-20,RAIFOS20,250.0,25.0
25-4-24,UREA X KILO,490.0,49.0
25-4-24,DAP GRANULADO X KILO,80.0,8.0
25-4-24,KCL GRANULADO X KILO,390.0,39.0
25-4-24,NUCLEO 4 X KILO,40.0,4.0
10-30-10,UREA,20.0,2.0
10-30-10,KCL,160.0,16.0
10-30-10,DAP,510.0,51.0
10-30-10,RAIFOS20,310.0,31.0
18-18-18,UREA X KILO,220.0,22.0
18-18-18,DAP GRANULADO X KILO,370.0,37.0
18-18-18,KCL GRANULADO X KILO,280.0,28.0
18-18-18,NUCLEO 4 X KILO,130.0,13.0
13-5-27,UREA - NUTRICION PLANTAS,200.0,20.0
13-5-27,MAP - PRECISAGRO,100.0,10.0
13-5-27,KCL - NUTRICION PLANTAS,450.0,45.0
13-5-27,SAM - PRECISAGRO,150.0,15.0
17-6-18-2,UREA X KILO,300.0,30.0
17-6-18-2,DAP GRANULADO X KILO,110.0,11.0
17-6-18-2,KCL GRANULADO X KILO,280.0,28.0
17-6-18-2,NUCLEO 4 X KILO,310.0,31.0
15-15-15,41.4 – 0 – 6,200.0,20.0
15-15-15,DAP GRANULADO X KILO,300.0,30.0
15-15-15,KCL GRANULADO X KILO,210.0,21.0
15-15-15,NUCLEO 4 X KILO,290.0,29.0
BORO GRANULADO,ULEXITA X KILO,850.0,85.0
BORO GRANULADO,CARBONATO DE CALCIO X KILO,50.0,5.0
BORO GRANULADO,VINAZA X KILO,100.0,10.0
BORO GRANULADO,KIESERITA EN POLVO X KILO,50.0,5.0
BORO GRANULADO,SILICATO DE MAGNESIO X KILO,50.0,5.0
B-ZINC 15,BENTONITA,130.0,13.0
B-ZINC 15,KCL ESTÁNDAR,70.0,7.0
B-ZINC 15,OXIDO ZN,100.0,10.0
B-ZINC 15,SILICATO MG,150.0,15.0
B-ZINC 15,SULFATO ZN,270.0,27.0
B-ZINC 15,ULEXITA,280.0,28.0
CALFERCORRECTIVO,SULFATO CALCIO - ANIBAL ARANGO,200.0,20.0
CALFERCORRECTIVO,CARBONATO CALCIO - AGROCALES,170.0,17.0
CALFERCORRECTIVO,CAL DOLOMITA - BOLIVARIANA MINERALES,100.0,10.0
CALFERCORRECTIVO,SILICATO MAGNESIO - JULIAN SALDARRIAGA,350.0,35.0
CAL DESARROLLO,UREA,337.0,33.7
