Ext. 1 detalle	Desc. grupo impositivo	Item	Referencia	Desc. item	Grupo impositivo	Tipo inventario	Desc. tipo inventario	Tipo item	Manufactura	Extensión	Maneja lote	U.M. adic.	Asignación lote	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000090	MP0065	EMPAQUE KASTROFERTICOMPLETO X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000091	MP0066	EMPAQUE KASTROARRANQUE X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000092	MP0067	EMPAQUE RAIFOS X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000093	MP0068	EMPAQUE MF-25-4-24 X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000094	MP0069	EMPAQUE MICRON C X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000095	MP0070	EMPAQUE MF 18-18-18 X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000096	MP0071	EMPAQUE FORMULACION ESPECIAL X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000097	MP0072	EMPAQUE CALFERZINC-P X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000098	MP0073	EMPAQUE BORO CALFERQUIM X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000099	MP0074	EMPAQUE FOSFORITA NEIVA X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000100	MP0075	EMPAQUE MAGNE 3 X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000101	MP0076	LINER X 25 KG	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000102	MP0077	LINER X 50KG	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000103	MP0082	HILO POLIESTER BLANCO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000104	MP0085	EMPAQUE SUELO CA X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000105	MP0086	EMPAQUE ENMIENDA CASA X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000106	MP0087	EMPAQUES BIOPLANTAS X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000107	MP0088	EMPAQUE K2K X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000108	MP0089	EMPAQUE BIOPLANTAS X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000109	MP0094	EMPAQUE CALFERCAT X 4 KILOS	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000110	MP0096	EMPAQUE AFOS-K X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000111	MP0100	COLORANTE X ML	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000112	MP0101	EMPAQUE CALFERCORRECTIVO X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000113	MP0107	LINER X 1000KG	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000114	MP0108	HILO POLIESTRE AZUL	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000115	MP0109	EMPAQUE BLANCO X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000116	POL001	POLVILLO K2K	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000117	POL002	POLVILLO SULFATO DE CALCIO X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000118	POL003	POLVILLO NUCLEO CAMASI X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000119	POL004	POLVILLO MENORES X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000120	POL005	POLVILLO BORO X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000121	POL006	POLVILLO MAGNE 6 X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000122	POL007	POLVILLO MAGNESIO X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000123	POL008	POLVILLO NUCLEO 4 X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000124	POL009	POLVILLO CALFERZINC P X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000125	POL010	POLVILLO MAGNE 3 X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000126	POL011	POLVILLO DE RAIFOS X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000127	POL012	POLVILLO SUELO Ca X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000128	POL013	POLVILLO DE FERTIMENORES X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000129	POL014	POLVILLO SILIMAGRAM X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000130	POL015	POLVILLO KCL GRANULADO X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000131	POL016	POLVILLO DE NUCLEO CAMASI YARA X KILO	003 	IN14100501	PRODUCTO EN PROCESO	Inventario	Si	No	Si	    	Manual	
